origin,destination,date,flight_name,airplane_name,from_time,to_time,stops,duration,cabin,price
CAI,MIL,2026-05-05,SWISS,,6:10 pm,11:40 pm,1 stop,6h 30m,Economy Basic,384.0
CAI,MIL,2026-05-05,Lufthansa,,4:20 pm,11:10 pm,1 stop,7h 50m,Economy Basic,385.0
CAI,MIL,2026-05-05,"Lufthansa, Air Dolomiti",,4:20 pm,11:10 pm,1 stop,7h 50m,Economy Basic + Economy,433.0
CAI,MIL,2026-05-05,"Egyptair, SWISS",,6:10 pm,11:40 pm,1 stop,6h 30m,Best Offer + Economy Flex,2762.0
CAI,MIL,2026-05-05,Etihad Airways,,7:45 pm,"6:45 am
+1",1 stop,12h 00m,Economy Basic,1867.0
CAI,MIL,2026-05-05,Turkish Airlines,,10:15 pm,"8:40 am
+1",1 stop,11h 25m,Promotion,372.0
CAI,MIL,2026-05-05,"Egyptair, easyJet",,4:35 pm,"1:05 am
+1",1 stop,9h 30m,Economy Cabin + Light,451.0
CAI,MIL,2026-05-05,ITA Airways,,5:55 pm,"7:40 am
+1",1 stop,14h 45m,Economy Cabin,406.0
CAI,MIL,2026-05-05,Qatar Airways,,7:50 pm,"7:55 am
+1",1 stop,13h 05m,Economy Classic,630.0
CAI,MIL,2026-05-05,ITA Airways,,5:55 pm,"8:10 am
+1",1 stop,15h 15m,Economy Cabin,406.0
CAI,MIL,2026-05-05,Turkish Airlines,,9:45 pm,"8:40 am
+1",1 stop,11h 55m,Promotion,487.0
CAI,MIL,2026-05-05,Turkish Airlines,,10:40 am,5:45 pm,1 stop,8h 05m,Flexible,1448.0
CAI,MIL,2026-05-05,Etihad Airways,,7:45 pm,"1:48 pm
+1",2 stops,19h 03m,Economy Basic,877.0
CAI,MIL,2026-05-05,Turkish Airlines,,3:15 pm,11:45 pm,1 stop,9h 30m,Flexible,812.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,10:15 pm,"8:05 am
+1",2 stops,10h 50m,Promotion + Economy Basic,449.0
CAI,MIL,2026-05-05,Multiple airlines,,10:15 pm,"8:05 am
+1",2 stops,10h 50m,Promotion + Economy Basic + Economy,449.0
CAI,MIL,2026-05-05,Multiple airlines,,9:45 pm,"8:05 am
+1",2 stops,11h 20m,Promotion + Economy Basic + Economy,449.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,9:45 pm,"8:05 am
+1",2 stops,11h 20m,Promotion + Economy Basic,449.0
CAI,MIL,2026-05-05,Multiple airlines,,4:35 pm,"12:55 am
+1",2 stops,9h 20m,Economy Cabin + Basic,570.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,10:15 pm,"9:10 am
+1",2 stops,11h 55m,Promotion + Economy Basic,449.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,9:45 pm,"9:10 am
+1",2 stops,12h 25m,Promotion + Economy Basic,449.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,10:15 pm,"10:35 am
+1",2 stops,13h 20m,Basic Economy + Economy Basic,461.0
CAI,MIL,2026-05-05,Multiple airlines,,4:35 pm,"6:50 am
+1",3 stops,15h 15m,Economy Cabin + Basic,505.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,9:45 pm,"10:35 am
+1",2 stops,13h 50m,Basic Economy + Economy Basic,461.0
CAI,MIL,2026-05-05,"Air Cairo, Ajet",,8:45 pm,"11:45 am
+1",2 stops,16h 00m,Economy Cabin,384.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,10:15 pm,"10:40 am
+1",2 stops,13h 25m,Promotion + Economy Basic,449.0
CAI,MIL,2026-05-05,"Air Cairo, Ajet",,10:20 pm,"11:45 am
+1",2 stops,14h 25m,Economy Cabin,404.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,9:45 pm,"10:40 am
+1",2 stops,13h 55m,Promotion + Economy Basic,449.0
CAI,MIL,2026-05-05,"Air Cairo, Ajet",,8:50 pm,"11:45 am
+1",2 stops,15h 55m,Economy Cabin,400.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,10:15 pm,"12:15 pm
+1",2 stops,15h 00m,Promotion + Economy Basic,449.0
CAI,MIL,2026-05-05,Multiple airlines,,10:15 pm,"12:15 pm
+1",2 stops,15h 00m,Promotion + Economy Basic + Economy,449.0
CAI,MIL,2026-05-05,"Turkish Airlines, Lufthansa",,9:45 pm,"12:15 pm
+1",2 stops,15h 30m,Promotion + Economy Basic,449.0
CAI,MIL,2026-05-05,Multiple airlines,,9:45 pm,"12:15 pm
+1",2 stops,15h 30m,Promotion + Economy Basic + Economy,449.0
